id,name,total-pop,percent-below-poverty-level,median-income,work-outside-place-of-residence,non-white-hispanic,OBJECTID,MCD_NAME,CTV,LABEL
0600000US5502500875,Albion town,2023,6.3,79688,0,5.7,329,Albion,T,Albion - T
0600000US5502506300,Belleville village,1888,3.2,73969,76.3,11.4,330,Belleville,V,Belleville - V
0600000US5502507025,Berry town,1121,6,91250,0,0.8,331,Berry,T,Berry - T
0600000US5502507800,Black Earth village,1374,5.4,64539,88.2,3.7,332,Black Earth,V,Black Earth - V
0600000US5502507825,Black Earth town,483,5.2,107500,0,1.9,333,Black Earth,T,Black Earth - T
0600000US5502508350,Blooming Grove town,1722,8,64211,0,14.2,334,Blooming Grove,T,Blooming Grove - T
0600000US5502508475,Blue Mounds village,1088,6.2,74750,84.2,3.2,335,Blue Mounds,V,Blue Mounds - V
0600000US5502508500,Blue Mounds town,849,1.4,101250,0,3.7,336,Blue Mounds,T,Blue Mounds - T
0600000US5502509775,Bristol town,3927,0.9,114688,0,7.5,337,Bristol,T,Bristol - T
0600000US5502510075,Brooklyn village,850,4.1,89375,95.5,10.6,338,Brooklyn,V,Brooklyn - V
0600000US5502511150,Burke town,3405,0,95282,0,16.4,339,Burke,T,Burke - T
0600000US5502512225,Cambridge village,1286,3.2,82917,81.8,8.6,340,Cambridge,V,Cambridge - V
0600000US5502514650,Christiana town,1330,4.8,90694,0,3,341,Christiania,T,Christiania - T
0600000US5502517175,Cottage Grove village,6992,2.5,99322,79.7,11.6,342,Cottage Grove,V,Cottage Grove - V
0600000US5502517200,Cottage Grove town,3958,2.9,93550,0,9,343,Cottage Grove,T,Cottage Grove - T
0600000US5502517775,Cross Plains village,4161,1.9,84861,79.5,6.4,344,Cross Plains,V,Cross Plains - V
0600000US5502517800,Cross Plains town,1426,3.8,102333,0,1.2,345,Cross Plains,T,Cross Plains - T
0600000US5502518700,Dane village,997,2.7,84375,91.1,9.2,346,Dane,V,Dane - V
0600000US5502518725,Dane town,999,5.2,84861,0,11.7,347,Dane,T,Dane - T
0600000US5502519250,Deerfield village,2532,4.5,73015,84.6,9.5,348,Deerfield,V,Deerfield - V
0600000US5502519275,Deerfield town,1533,2.8,100000,0,4.5,349,Deerfield,T,Deerfield - T
0600000US5502519350,DeForest village,10157,9.4,88151,81.9,12.6,350,DeForest,V,DeForest - V
0600000US5502521100,Dunkirk town,2039,5.4,85125,0,5.2,351,Dunkirk,T,Dunkirk - T
0600000US5502521125,Dunn town,5232,5.2,86806,0,9.1,352,Dunn,T,Dunn - T
0600000US5502522575,Edgerton city,55,0,89688,100,0,353,Edgerton,C,Edgerton - C
0600000US5502525950,Fitchburg city,28470,10.6,72324,85,35.3,354,Fitchburg,C,Fitchburg - C
0600000US5502546850,McFarland village,8628,3,92944,87,5.3,355,McFarland,V,McFarland - V
0600000US5502548000,Madison city,243653,16.9,65332,27.9,26.4,356,Madison,C,Madison - C
0600000US5502548025,Madison town,6871,16.8,42469,0,46.2,357,Madison,T,Madison - T
0600000US5502548750,Maple Bluff village,1405,0.9,152750,91.3,7.7,358,Maple Bluff,V,Maple Bluff - V
0600000US5502549575,Marshall village,3951,13.9,61339,88.8,27.5,359,Marshall,V,Marshall - V
0600000US5502550225,Mazomanie village,1855,14.1,65673,82.8,10,360,Mazomanie,V,Mazomanie - V
0600000US5502550250,Mazomanie town,1091,4,70625,0,6.6,361,Mazomanie,T,Mazomanie - T
0600000US5502550475,Medina town,1388,6.6,92500,0,10.3,362,Medina,T,Medina - T
0600000US5502551575,Middleton city,19417,5.2,76011,72.9,16.9,363,Middleton,C,Middleton - C
0600000US5502551600,Middleton town,6215,0.5,149590,0,11,364,Middleton,T,Middleton - T
0600000US5502553675,Monona city,8106,6.2,74474,82.6,9.4,365,Monona,C,Monona - C
0600000US5502554100,Montrose town,1105,6.8,76023,0,10.5,366,Montrose,T,Montrose - T
0600000US5502554725,Mount Horeb village,7381,4.5,79900,76.8,10.6,367,Mount Horeb,V,Mount Horeb - V
0600000US5502560200,Oregon village,10236,3.6,83885,79.6,11.8,368,Oregon,V,Oregon - V
0600000US5502560225,Oregon town,3321,2.1,110592,0,3.8,369,Oregon,T,Oregon - T
0600000US5502562050,Perry town,820,4.1,98750,0,12.8,370,Perry,T,Perry - T
0600000US5502563375,Pleasant Springs town,3321,1.1,94583,0,4,371,Pleasant Springs,T,Pleasant Springs - T
0600000US5502565575,Primrose town,758,3.6,83500,0,5.4,372,Primrose,T,Primrose - T
0600000US5502568725,Rockdale village,236,8.9,60139,92,11.4,373,Rockdale,V,Rockdale - V
0600000US5502569850,Roxbury town,2113,2.8,94375,0,4.6,374,Roxbury,T,Roxbury - T
0600000US5502570400,Rutland town,1899,4.3,100179,0,5.4,375,Rutland,T,Rutland - T
0600000US5502573750,Shorewood Hills village,2275,5.4,123200,81.5,16.9,376,Shorewood Hills,V,Shorewood Hills - V
0600000US5502575850,Springdale town,2038,2,101146,0,4.5,377,Springdale,T,Springdale - T
0600000US5502575875,Springfield town,2904,3.7,101853,0,10.4,378,Springfield,T,Springfield - T
0600000US5502577675,Stoughton city,12763,7,67329,71.8,6.8,379,Stoughton,C,Stoughton - C
0600000US5502578600,Sun Prairie city,33136,7.1,77139,71.8,24.5,380,Sun Prairie,C,Sun Prairie - C
0600000US5502578625,Sun Prairie town,2338,4.6,88472,0,16.9,381,Sun Prairie,T,Sun Prairie - T
0600000US5502582525,Vermont town,836,3,101667,0,3,382,Vermont,T,Vermont - T
0600000US5502582600,Verona city,12946,2.7,96990,72,10.7,383,Verona,C,Verona - C
0600000US5502582625,Verona town,1813,1.3,119417,0,3.4,384,Verona,T,Verona - T
0600000US5502582750,Vienna town,1806,4.5,107604,0,1.6,385,Vienna,T,Vienna - T
0600000US5502584350,Waunakee village,13630,4.9,112845,75.2,6.3,386,Waunakee,V,Waunakee - V
0600000US5502586125,Westport town,4156,2.2,90116,0,10.1,387,Westport,T,Westport - T
0600000US5502587725,Windsor village,7083,1.8,97004,85.1,8.1,388,Windsor,V,Windsor - V
0600000US5502589450,York town,772,5.1,79375,0,7.4,389,York,T,York - T
